Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
sched_yield,146.005315,0.0,0.0,0.0,0.0,0.0,0.0,146.005315,0.0,libc.so.6,sched_yield,[Unknown],0xe3380
std::ostream::_M_insert<double>,28.425887,28.425887,1.286848,27.139039,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,std::ostream& std::ostream::_M_insert<double>(double),[Unknown],0x135af0
pow,23.430154,23.430154,0.0,23.430154,0.0,0.0,0.0,0.0,0.0,libm.so.6,pow,[Unknown],0xbe60
calculate_gamma_AB,17.503646,17.503646,0.0,17.503646,0.0,0.0,0.0,0.0,0.0,hw5,"calculate_gamma_AB(Atom, Atom)",[Unknown],0x4125d0
__pthread_mutex_lock,12.175130,0.0,0.0,0.0,0.0,0.0,0.0,12.175130,0.0,libpthread.so.0,__pthread_mutex_lock,[Unknown],0xae80
func@0x3319f0,10.058772,10.058772,0.0,10.058772,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0x3319f0,[Unknown],0x3319f0
__memmove_avx512_no_vzeroupper,9.065180,9.065180,0.0,9.065180,0.0,0.0,0.0,0.0,0.0,libc.so.6,__memmove_avx512_no_vzeroupper,[Unknown],0x161520
dgemm_kernel_HASWELL,3.687105,3.687105,0.0,3.687105,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dgemm_kernel_HASWELL,[Unknown],0xeb5000
compute_S_ab_x,3.223894,3.223894,0.0,3.223894,0.0,0.0,0.0,0.0,0.0,hw5,"compute_S_ab_x(double const&, double const&, double const&, double const&, double const&, double const&, double const&, double const&)",[Unknown],0x4122f0
dsymv_U_HASWELL,2.702712,2.702712,0.0,2.702712,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dsymv_U_HASWELL,[Unknown],0xeb3c00
dsyevd_,2.438515,1.793486,0.0,1.793486,0.0,0.0,0.0,0.645030,0.0,liblapack.so.3,dsyevd_,[Unknown],0x1471370
